,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKihi,0,-66.69276037326242,7.544758242478565,0.0,0.5079113845348017,9.279032304522003,0.0,4EM,SK
4EMKimid,1,-67.24730642810746,6.812431730262212,0.5545460548450407,0.2933778039852144,9.25708607638401,0.3690132358444984,4EM,SK
4EMKilo,2,-67.71962693621663,7.300303060706881,1.0268665629542255,0.1872844585006264,9.160948032227811,0.4486509150725084,4EM,SK
4CMKihi,3,-73.13011422726457,7.745880265723443,6.437353854002151,0.005857266449759871,8.671345364127953,2.389743247627379,4EM,SK
4CMKimid,4,-73.70934175590314,7.369380853204191,7.016581382640729,0.002890682993757845,8.8578221840872,2.2797809990987306,4EM,SK
4CMKilo,5,-73.77599539889503,6.997790496851977,7.0832350256326215,0.0026784029411332415,8.658744300073725,2.2936753133646373,4EM,SK
4NaiveKimid,6,-97.7701374981693,7.034529298095379,31.077377124906878,3.4618681979163995e-10,9.283584204033861,5.756837195361509,4EM,SK
4NaiveKilo,7,-98.13903811632666,7.543705081579745,31.44627774306425,2.441376185325729e-10,9.268959212302518,5.968262854276377,4EM,SK
4NaiveKihi,8,-100.8302280391973,7.123728686431889,34.13746766593488,4.381642830119439e-12,8.93366059904442,5.6177133492653395,4EM,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKimid,0,-83.02187789876973,5.160883752181633,0.0,0.5722853510975205,9.27586549138654,0.0,4EM,LP
4EMKilo,1,-83.39964195701413,5.276515956593784,0.37776405824438175,0.3994205045974553,9.847583538260482,0.49553529111203193,4EM,LP
4CMKilo,2,-89.32571904008802,5.297117598275605,6.303841141318285,0.007893694989770723,9.043602036409265,2.57691155332543,4EM,LP
4CMKimid,3,-89.74421580143802,5.449958520709757,6.72233790266828,0.006419000486513129,8.664203116290967,2.663624524613324,4EM,LP
4EMKihi,4,-90.23913891999214,5.922683517402518,7.217261021222423,0.013721168894444438,8.596497745306376,2.9260515672908523,4EM,LP
4CMKihi,5,-96.03865210321844,6.098535876649905,13.016774204448701,0.00026027993429576145,8.985865613501552,3.5904439817203246,4EM,LP
4NaiveKilo,6,-140.0630128305114,6.192723650353514,57.04113493174168,2.2564608517031664e-19,9.213632928875366,8.931867409733695,4EM,LP
4NaiveKimid,7,-140.63357821912697,6.671202846895966,57.61170032035724,1.5057049189917022e-19,9.874069447848154,9.03378401437912,4EM,LP
4NaiveKihi,8,-148.19647843460726,6.292587639427865,65.17460053583753,2.3043604486228764e-23,9.12659897476316,8.437366936990118,4EM,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
69Kihi,0,-78.04466377163041,7.655596049431651,0.0,0.7065888455354125,8.613265541341995,0.0,4EM.CD69+,SK
4EMKihi,1,-80.96489303414496,6.941405962266074,2.920229262514545,0.12663884165684966,8.919751073233641,3.4599098765433345,4EM.CD69+,SK
69Kimid,2,-81.7968622687559,7.291408201804572,3.7521984971254847,0.03152066719585479,9.100983531637713,1.6229561114907043,4EM.CD69+,SK
4EMKilo,3,-82.41820725562847,6.394689943232393,4.373543483998051,0.04762776019643777,8.986252106237567,3.8454348515232635,4EM.CD69+,SK
4EMKimid,4,-82.631296819005,6.839232026314306,4.586633047374593,0.033197294664717845,9.87927367094776,3.746545010133283,4EM.CD69+,SK
69Kilo,5,-83.34322852816192,7.420279489230637,5.298564756531499,0.008243937520189941,8.941775751287867,1.8553442430311577,4EM.CD69+,SK
4CMKihi,6,-84.80207237554936,6.434090662009567,6.757408603918931,0.03139589110768489,9.88606007801288,4.799742627052068,4EM.CD69+,SK
4CMKimid,7,-86.4937954295437,6.465329539816793,8.449131657913277,0.007177776156880979,9.82372639879043,4.980497768763797,4EM.CD69+,SK
4CMKilo,8,-86.51336877956993,6.3247364353212845,8.468705007939503,0.007608978536648062,8.85086210243182,5.0373276649100225,4EM.CD69+,SK
4NaiveKimid,9,-110.3923573156971,6.04388499091408,32.34769354406667,4.728324129642675e-09,9.132228967974074,7.848526475085043,4EM.CD69+,SK
4NaiveKilo,10,-111.01967749847104,6.8823329872217585,32.975013726840615,2.4389562465808395e-09,9.04164188391101,8.008160322880688,4EM.CD69+,SK
4NaiveKihi,11,-112.70798969438339,6.092540530807355,34.66332592275296,2.6204258753682464e-10,8.846452889303167,7.987936968447755,4EM.CD69+,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKimid,0,-93.21875614457934,6.425174536259959,0.0,0.48851836600530824,10.75167848744137,0.0,4EM.CD69+,LP
4EMKilo,1,-93.71985869097773,6.458668308534243,0.5011025463983696,0.32974979572888025,11.766491430687962,0.8309050870967052,4EM.CD69+,LP
69Kimid,2,-95.73195043827636,6.532289871713488,2.5131942936970084,0.09715755430577683,10.443919043873885,1.8413191814023382,4EM.CD69+,LP
69Kilo,3,-96.26411353884036,6.808343712351572,3.045357394260998,0.0441428673206837,10.964791472699464,1.7021834175458224,4EM.CD69+,LP
4EMKihi,4,-99.37022026659179,6.074758224255788,6.15146412201243,0.024593670890768287,11.546241556889866,3.1625174594490963,4EM.CD69+,LP
4CMKimid,5,-100.48430416527563,6.3139849744725325,7.265548020696277,0.004377388766192411,11.310153526055988,3.0064823717672207,4EM.CD69+,LP
69Kihi,6,-100.84383140473373,5.92665331917172,7.625075260154367,0.008294307829265053,11.135131178437902,3.4500983575129887,4EM.CD69+,LP
4CMKilo,7,-101.03560238411261,6.592839843910255,7.8168462395332465,0.002936938631468417,11.385884539608412,3.0494777683576983,4EM.CD69+,LP
4CMKihi,8,-105.74736081930945,5.861189626306398,12.52860467473009,0.00022911052165625027,11.366837708557995,3.971818409451629,4EM.CD69+,LP
4NaiveKimid,9,-156.56933070696425,7.328251267312055,63.35057456238489,1.0922267984625893e-20,11.26193371151945,8.272483681627172,4EM.CD69+,LP
4NaiveKilo,10,-156.64181174600043,7.136767584785275,63.42305560142106,9.186030586693301e-21,10.9719704754043,8.357870473304231,4EM.CD69+,LP
4NaiveKihi,11,-157.41779746317982,5.628555038433859,64.19904131860046,5.304187065704539e-23,11.767123472704583,8.362280216046711,4EM.CD69+,LP
