,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4CMKihi,0,-55.400271964245405,5.92184308415424,0.0,0.2329094354483142,7.671613851766093,0.0,4EM,SK
4CMKimid,1,-55.482962473810474,5.277859357575082,0.08269050956507584,0.2147405926963815,7.638897252712313,0.45428681940686694,4EM,SK
4CMKilo,2,-55.590563095261956,5.418609803118002,0.19029113101655337,0.19025063373000756,7.5521122580865585,0.26223866338643936,4EM,SK
4NaiveKilo,3,-56.57105443919396,4.977926515484121,1.1707824749485578,0.1469411359188064,7.462896195729343,2.0260095835604446,4EM,SK
4NaiveKimid,4,-57.23450755411329,5.613644104739777,1.8342355898678928,0.07571317197463936,8.477220623768504,2.017340521948967,4EM,SK
4EMKihi,5,-57.35172396701312,5.583315963801809,1.9514520027677236,0.05809871077386061,7.8471669236524315,1.2011886638772247,4EM,SK
4EMKimid,6,-57.47118395121502,5.304176208922641,2.0709119869696124,0.05464250268556864,7.447841812161391,1.3168065242075297,4EM,SK
4EMKilo,7,-58.34437571336861,5.811556532584099,2.9441037491232116,0.02285661158176748,7.96863946754257,1.301595329590323,4EM,SK
4NaiveKihi,8,-61.71158638905168,5.1306959082016945,6.3113144248062785,0.0038472051906543766,7.407178579276281,2.787486102353163,4EM,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKimid,0,-80.77026985937586,4.875865414767361,0.0,0.24420508635905705,8.67636516115431,0.0,4EM,LP
4EMKilo,1,-81.20142415586173,4.959760200741243,0.43115429648586634,0.179019486364435,8.75890125796099,0.3466128577810808,4EM,LP
4CMKimid,2,-81.27989666834011,4.924467655917567,0.5096268089642484,0.14982250691892285,8.624407711406743,0.9932675615389146,4EM,LP
4EMKihi,3,-81.4964521168261,4.6774604282138625,0.7261822574502252,0.17166643475991736,8.60322885882511,1.6190416486500652,4EM,LP
4CMKihi,4,-81.56752324278666,4.796796206848057,0.7972533834107773,0.14626787215985024,8.597223763070078,1.6728467957274755,4EM,LP
4CMKilo,5,-81.82096538463509,5.0598884868758915,1.0506955252592185,0.10899029556818064,8.62697017748906,0.991368024629208,4EM,LP
4NaiveKimid,6,-95.36999606788025,4.369476252951586,14.59972620850437,1.6996899026929234e-05,9.448749562353834,3.6786411792617644,4EM,LP
4NaiveKilo,7,-95.87612946483104,4.757288077610781,15.105859605455151,1.1170832658683857e-05,8.67641303347266,3.6994356372891968,4EM,LP
4NaiveKihi,8,-99.44381196867062,4.054081136031826,18.67354210929473,1.5013795118136026e-07,8.660084486489644,3.4271386668986716,4EM,LP
