,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4CMKilo,0,-59.84393744155976,6.832375286623773,0.0,0.2948915430402663,8.669744918729222,0.0,4EM,SK
4CMKimid,1,-60.117057979408514,6.353047530285295,0.27312053784873935,0.2213484426469251,8.667513193443963,0.22235092880423316,4EM,SK
4NaiveKimid,2,-60.30850188206469,6.100243554199984,0.4645644405049074,0.23242362243253686,8.287633914684763,1.829117730293199,4EM,SK
4NaiveKilo,3,-60.60996981117744,6.240232535534204,0.7660323696176761,0.17423386853036985,8.351487412263248,1.844985346334941,4EM,SK
4CMKihi,4,-62.20149797625832,6.468107722458797,2.3575605346985524,0.02916816981666186,8.61322127981641,0.7560419670591148,4EM,SK
4NaiveKihi,5,-63.70942518990589,6.392681235576852,3.8654877483461263,0.017752790401067746,8.349102971532423,2.669592368007784,4EM,SK
4EMKilo,6,-64.2326523823136,6.550457363190034,4.388714940753836,0.016226688923741156,8.768624778789633,1.9604132433531356,4EM,SK
4EMKimid,7,-64.4679387787622,6.574223719035956,4.624001337202431,0.012135571843459763,8.889939486742172,1.9928828127267457,4EM,SK
4EMKihi,8,-66.84944894852134,6.088569652914998,7.0055115069615805,0.0018193023649714238,8.667169955902331,2.468333750920657,4EM,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKimid,0,-81.26774252391907,4.984670529643054,0.0,0.38919628532769374,9.425990316999936,0.0,4EM,LP
4EMKilo,1,-81.60297325177086,4.935141657601534,0.3352307278517843,0.28299833021747756,9.478601193277479,0.2634432196170421,4EM,LP
4CMKihi,2,-82.5988028063196,4.977166524953546,1.3310602824005144,0.1504793222076551,9.249366525168053,1.3752398735117997,4EM,LP
4EMKihi,3,-83.38396989121533,5.207745013962537,2.1162273672962426,0.09743495280712465,9.310411061510955,1.6328263090240882,4EM,LP
4CMKilo,4,-83.94770831212165,5.616542415579559,2.6799657882025585,0.03658545808832395,9.311081231840696,1.0790035586485618,4EM,LP
4CMKimid,5,-83.95644988250656,5.965257876543447,2.688707358587478,0.03970575110717048,9.342805529637348,1.2777967178440095,4EM,LP
4NaiveKimid,6,-87.4882181069275,5.500910834909163,6.220475583008427,0.00209925345495573,10.065103672128142,1.9768816470634134,4EM,LP
4NaiveKilo,7,-87.9484099180859,5.944044871710176,6.680667394166817,0.001308216771987003,9.868729721463579,1.925712069633187,4EM,LP
4NaiveKihi,8,-89.89379538815511,5.530815665722827,8.626052864236026,0.00019243001761153595,9.777673974754304,1.794429331682472,4EM,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
69Kihi,0,-81.74579905403318,9.190446044082847,0.0,0.2810377434584483,11.400800972205952,0.0,4EM.CD69+,SK
69Kimid,1,-82.06455841529825,8.668635387741247,0.31875936126507654,0.22509962713913922,11.77082952650821,0.9759777065896179,4EM.CD69+,SK
4CMKilo,2,-82.55447527427224,7.958583809626063,0.8086762202390556,0.12916166429845793,11.701086267386456,2.0522532403486653,4EM.CD69+,SK
69Kilo,3,-83.19328503505609,9.679488946570018,1.4474859810229015,0.08511077698882044,11.252559107654468,1.1843795303917808,4EM.CD69+,SK
4CMKimid,4,-83.38055396377416,8.19815168117701,1.6347549097409804,0.06066602926698176,10.956600549228112,2.3156080380444473,4EM.CD69+,SK
4EMKilo,5,-83.7429204303846,8.513607051908025,1.9971213763514024,0.06128238082928006,10.806648482156602,2.661910515224158,4EM.CD69+,SK
4EMKimid,6,-84.36037159080607,8.537120670411966,2.6145725367728865,0.04812301913489498,10.51169590403523,3.0643209459936185,4EM.CD69+,SK
