MouseID,Age_at_SK1,Days_post_treatment,mT+,mT-,mT+.Ki67+,mT-.Ki67+,population,organ,Qall,mT+frac,mT+.Ki67+frac,mT-frac,mT-.Ki67+frac,Ki67+frac,mT+.Ki67-,mT-.Ki67-
BPS1-02062,59,1.0,159835.1272751316,93997.55783609347,46824.49971088618,16195.027234696216,4EM,LN,253832.6851112251,0.6296869420307106,0.29295499999999997,0.37031305796928937,0.17229199999999997,0.24827191548625163,113010.62756424543,77802.53060139726
BPS1-02061,59,1.0,129834.82159398274,80887.324465523,44138.126609804,16542.509388417504,4EM,LN,210722.14605950573,0.6161422708618332,0.33995600000000004,0.3838577291381669,0.204513,0.2879651575923393,85696.69498417873,64344.81507710549
BPS1-02061,59,1.0,77658.7498610545,40616.621586572306,31396.345346326285,10044.97791781837,4CM,LN,118275.3714476268,0.6565927370216914,0.4042860000000001,0.34340726297830854,0.247312,0.35037998830124306,46262.404514728216,30571.643668753935
BPS1-02062,59,1.0,86836.70241752898,39339.38293236699,33271.308857871394,8421.027649885411,4CM,LN,126176.08534989598,0.6882183908045977,0.383148,0.3117816091954023,0.214061,0.330429783045977,53565.39355965759,30918.35528248158
BPS1-02062,59,1.0,3098716.663129617,2973477.2297543013,97927.19334655373,51951.70211509822,4Naive,LN,6072193.892883918,0.5103125357642223,0.031602500000000006,0.48968746423577764,0.017471699999999996,0.024682824380377076,3000789.469783063,2921525.5276392032
BPS1-02061,59,1.0,3046592.5377005446,3046102.4861980807,105632.97976342212,64735.16081618437,4Naive,LN,6092695.023898626,0.5000402163164692,0.034672499999999995,0.49995978368353067,0.021251799999999998,0.027962689731118432,2940959.5579371224,2981367.3253818965
BPS1-00909,89,2.0,99427.93269131659,33212.762659699314,0.0,0.0,4CM,LN,132640.6953510159,0.749603524229075,0.0,0.25039647577092516,0.0,0.0,0.0,0.0
BPS1-00911,89,2.0,106735.80035783473,31265.791682297327,0.0,0.0,4CM,LN,138001.59204013206,0.7734389058844701,0.0,0.22656109411552994,0.0,0.0,0.0,0.0
BPS1-00911,89,2.0,3660804.514273879,2112887.0707875607,0.0,0.0,4Naive,LN,5773691.58506144,0.6340491971801301,0.0,0.3659508028198698,0.0,0.0,0.0,0.0
BPS1-00909,89,2.0,3310501.4006735757,2422638.4765680176,0.0,0.0,4Naive,LN,5733139.877241593,0.5774325189264996,0.0,0.42256748107350045,0.0,0.0,0.0,0.0
BPS1-02060,60,2.0,5501270.2657735655,1960927.0339719376,133263.871172152,19985.76833024199,4Naive,LN,7462197.299745503,0.7372185490138656,0.024224199999999998,0.2627814509861344,0.010192000000000001,0.020536798123472363,5368006.394601414,1940941.2656416956
BPS1-02059,60,2.0,5621001.481775157,2924455.752409743,136367.18224830984,31136.095504756056,4Naive,LN,8545457.2341849,0.6577765621819662,0.0242603,0.34222343781803377,0.010646800000000001,0.019601441229264195,5484634.299526847,2893319.656904987
BPS1-02059,60,2.0,550941.090764923,139039.7898753624,147253.33097528556,18981.016914835098,4EM,LN,689980.8806402854,0.798487474397353,0.26727599999999996,0.20151252560264693,0.136515,0.24092602063967225,403687.75978963746,120058.77296052729
BPS1-02060,60,2.0,384242.517608346,85270.48761099574,90896.79420794794,10246.954496213357,4EM,LN,469513.0052193417,0.8183852488363768,0.236561,0.18161475116362336,0.12016999999999999,0.21542267749731472,293345.72340039804,75023.53311478239
BPS1-00909,89,2.0,144116.74493997605,60535.57726152091,0.0,0.0,4EM,LN,204652.32220149698,0.7042028323435359,0.0,0.29579716765646413,0.0,0.0,0.0,0.0
BPS1-00911,89,2.0,178530.40222719262,66728.50059597532,0.0,0.0,4EM,LN,245258.90282316794,0.7279262859457271,0.0,0.272073714054273,0.0,0.0,0.0,0.0
BPS1-02060,60,2.0,265729.5678483618,50599.14592589397,98687.70982579599,7167.369020402881,4CM,LN,316328.71377425577,0.8400425136176431,0.371384,0.15995748638235685,0.14165,0.3346363268234356,167041.8580225658,43431.77690549109
BPS1-02059,60,2.0,324933.488614119,74303.12461283049,128418.26376914042,12111.260705642146,4CM,LN,399236.61322694947,0.8138869979577945,0.39521399999999995,0.1861130020422056,0.162998,0.35199558311776713,196515.2248449786,62191.863907188344
BPS1-00749,112,4.0,4520638.857088043,2725200.362008312,0.0,0.0,4Naive,LN,7245839.219096355,0.623894447612629,0.0,0.37610555238737103,0.0,0.0,0.0,0.0
BPS1-00910,91,4.0,1452496.4613485287,964211.0105213945,0.0,0.0,4Naive,LN,2416707.471869923,0.6010228702709568,0.0,0.39897712972904326,0.0,0.0,0.0,0.0
BPS1-00910,91,4.0,72038.91400695161,34568.63456801435,0.0,0.0,4CM,LN,106607.54857496597,0.6757393352525516,0.0,0.3242606647474483,0.0,0.0,0.0,0.0
BPS1-00910,91,4.0,122175.98932472545,52145.90638225893,0.0,0.0,4EM,LN,174321.8957069844,0.7008642765685019,0.0,0.2991357234314981,0.0,0.0,0.0,0.0
BPS1-00749,112,4.0,207356.69287890446,71973.80861521394,0.0,0.0,4EM,LN,279330.5014941184,0.7423345884884346,0.0,0.25766541151156536,0.0,0.0,0.0,0.0
BPS1-00749,112,4.0,100598.0477408888,35085.353469003036,0.0,0.0,4CM,LN,135683.40120989183,0.7414174972314508,0.0,0.25858250276854927,0.0,0.0,0.0,0.0
BPS1-00700,32,5.0,183542.58242733683,24601.14613587462,0.0,0.0,4CM,LN,208143.72856321145,0.8818069306930694,0.0,0.11819306930693069,0.0,0.0,0.0,0.0
BPS1-00700,32,5.0,315435.6381505599,37159.32282827135,0.0,0.0,4EM,LN,352594.9609788313,0.8946118721461187,0.0,0.10538812785388128,0.0,0.0,0.0,0.0
BPS1-00700,32,5.0,7586233.537611578,1120124.9600556735,0.0,0.0,4Naive,LN,8706358.497667251,0.8713440343220652,0.0,0.12865596567793475,0.0,0.0,0.0,0.0
BPS1-00644,57,6.0,7169942.15538064,113522.12557456344,0.0,0.0,4Naive,LN,7283464.280955204,0.9844137183631969,0.0,0.015586281636803107,0.0,0.0,0.0,0.0
BPS1-00643,57,6.0,224959.78599544207,3580.5332013826614,0.0,0.0,4CM,LN,228540.31919682474,0.9843330349149507,0.0,0.01566696508504924,0.0,0.0,0.0,0.0
BPS1-00644,57,6.0,116847.96909725573,2438.9519166410114,0.0,0.0,4CM,LN,119286.92101389675,0.9795539033457249,0.0,0.020446096654275093,0.0,0.0,0.0,0.0
BPS1-00644,57,6.0,181103.26595567074,8780.22689990764,0.0,0.0,4EM,LN,189883.49285557837,0.9537599252685661,0.0,0.046240074731433906,0.0,0.0,0.0,0.0
BPS1-00643,57,6.0,235445.6332280627,7723.721620125455,0.0,0.0,4EM,LN,243169.35484818817,0.9682372738746319,0.0,0.03176272612536811,0.0,0.0,0.0,0.0
BPS1-00643,57,6.0,9244834.425021421,106699.88940120331,0.0,0.0,4Naive,LN,9351534.314422624,0.988590119459152,0.0,0.011409880540848029,0.0,0.0,0.0,0.0
BPS1-02065,66,8.0,114940.56454431446,19773.477401486693,37269.478053493964,6389.383979264993,4CM,LN,134714.04194580115,0.8532188841201718,0.32425,0.14678111587982834,0.323129,0.32408545836909874,77671.0864908205,13384.0934222217
BPS1-00701,35,8.0,166904.5112741367,23057.90647082004,0.0,0.0,4CM,LN,189962.41774495674,0.8786185881157947,0.0,0.12138141188420518,0.0,0.0,0.0,0.0
BPS1-02066,66,8.0,99542.27886148564,19389.32230415366,28900.109821855127,6330.904572140732,4CM,LN,118931.6011656393,0.8369708125164345,0.29033000000000003,0.1630291874835656,0.326515,0.2962292111490929,70642.1690396305,13058.417732012927
BPS1-02065,66,8.0,5772313.609623862,814682.6868573544,121808.51625300467,13582.389755285812,4Naive,LN,6586996.296481216,0.8763195468483019,0.021102199999999998,0.12368045315169816,0.016672,0.020554270856447347,5650505.093370858,801100.2971020686
BPS1-00701,35,8.0,8618254.330704411,1117874.319152267,0.0,0.0,4Naive,LN,9736128.64985668,0.8851828730540939,0.0,0.11481712694590603,0.0,0.0,0.0,0.0
BPS1-02066,66,8.0,3968243.7212484805,804062.686713056,82791.05605389555,13988.037341941023,4Naive,LN,4772306.407961536,0.8315148655644459,0.0208634,0.16848513443555418,0.0173967,0.020279312584452265,3885452.665194585,790074.649371115
BPS1-02066,66,8.0,194393.5926493857,45064.53780691197,43309.72608072724,9274.777590578358,4EM,LN,239458.1304562977,0.8118061904140003,0.222794,0.18819380958599974,0.20581099999999997,0.21959790453180095,151083.86656865847,35789.76021633361
BPS1-00701,35,8.0,249777.90733453174,43703.89803883464,0.0,0.0,4EM,LN,293481.8053733664,0.8510848126232741,0.0,0.14891518737672582,0.0,0.0,0.0,0.0
BPS1-02065,66,8.0,234275.2351778482,52459.45953883702,47020.4453516052,10863.934394816835,4EM,LN,286734.6947166852,0.8170453017878747,0.200706,0.1829546982121253,0.20709199999999997,0.20187434870278265,187254.789826243,41595.52514402018
BPS1-02063,67,9.0,160742.9735504066,61973.91604569597,35550.07677338147,13740.42284823939,4EM,LN,222716.88959610258,0.7217367925796477,0.22116099999999997,0.2782632074203522,0.221713,0.221314601290496,125192.89677702513,48233.493197456584
BPS1-02064,67,9.0,148639.2943570241,22275.69859725511,32610.272067576232,5222.87167160542,4EM,LN,170914.9929542792,0.86966796644216,0.219392,0.13033203355784,0.23446500000000003,0.22135649474181732,116029.02228944786,17052.82692564969
BPS1-02064,67,9.0,58042.028801914035,7189.6180422691,16753.01902526926,2291.5541482304725,4CM,LN,65231.64684418314,0.8897832817337461,0.288636,0.11021671826625386,0.318731,0.2919529721362229,41289.00977664477,4898.063894038628
BPS1-02063,67,9.0,75147.115591641,26256.58182225863,21467.051069717316,8231.674710514482,4CM,LN,101403.69741389964,0.7410687924416888,0.28566700000000006,0.25893120755831117,0.31350900000000004,0.29287616268083855,53680.06452192369,18024.90711174415
BPS1-02063,67,9.0,3103456.117575265,1088884.6988318658,52293.85627236673,26388.794010780617,4Naive,LN,4192340.816407131,0.7402680873247685,0.0168502,0.25973191267523155,0.024234699999999998,0.018768190309150248,3051162.261302898,1062495.9048210853
BPS1-02064,67,9.0,3306638.6283111298,407728.08611059235,53495.46105654312,10450.111619823092,4Naive,LN,3714366.714421722,0.8902294475859069,0.0161782,0.10977055241409309,0.025630099999999996,0.017215740284362766,3253143.1672545867,397277.97449076927
BPS1-00706,39,12.0,180364.8231025937,73917.74024311976,0.0,0.0,4CM,LN,254282.56334571348,0.7093086554164398,0.0,0.2906913445835601,0.0,0.0,0.0,0.0
BPS1-00706,39,12.0,6560683.92614776,3800949.867670085,0.0,0.0,4Naive,LN,10361633.793817844,0.6331707968739564,0.0,0.3668292031260437,0.0,0.0,0.0,0.0
BPS1-00706,39,12.0,345087.87720242987,82592.23160748088,0.0,0.0,4EM,LN,427680.1088099107,0.8068831589168196,0.0,0.1931168410831805,0.0,0.0,0.0,0.0
BPS1-02177,95,13.0,110396.93396176366,52864.20345183956,31597.148056932227,16986.643038365797,4CM,LN,163261.13741360322,0.6761984861227922,0.286214,0.32380151387720774,0.321326,0.2975833187552565,78799.78590483143,35877.560413473766
BPS1-02174,95,13.0,77829.40926849969,35002.64438001309,22385.68384085222,10262.145284620998,4CM,LN,112832.05364851278,0.6897810218978102,0.28762499999999996,0.3102189781021898,0.293182,0.2893488868613138,55443.72542764747,24740.49909539209
BPS1-02177,95,13.0,289585.98722059646,145479.54170707535,54146.20871853269,29935.761735690015,4EM,LN,435065.52892767184,0.6656146441533849,0.186978,0.33438535584661505,0.205773,0.1932627727631371,235439.77850206377,115543.77997138533
BPS1-00646,57,13.0,259233.07873940544,12909.718288682468,0.0,0.0,4EM,LN,272142.7970280879,0.9525627044711015,0.0,0.04743729552889858,0.0,0.0,0.0,0.0
BPS1-00646,57,13.0,200145.14974453926,5638.727528390044,0.0,0.0,4CM,LN,205783.8772729293,0.9725987885780214,0.0,0.02740121142197866,0.0,0.0,0.0,0.0
BPS1-00648,57,13.0,412829.9612193422,26045.314138539834,0.0,0.0,4EM,LN,438875.275357882,0.9406544054747648,0.0,0.059345594525235246,0.0,0.0,0.0,0.0
BPS1-00648,57,13.0,9210420.863784723,244075.0969991814,0.0,0.0,4Naive,LN,9454495.960783904,0.9741842295970536,0.0,0.0258157704029464,0.0,0.0,0.0,0.0
BPS1-00646,57,13.0,6185268.613457576,93039.00421843573,0.0,0.0,4Naive,LN,6278307.617676012,0.9851808783697548,0.0,0.014819121630245189,0.0,0.0,0.0,0.0
BPS1-02174,95,13.0,4961110.09609656,2487109.464790028,42301.40134537693,74102.18294868649,4Naive,LN,7448219.560886588,0.6660800014743419,0.008526599999999999,0.3339199985256582,0.029794499999999998,0.015628377136643844,4918808.6947511835,2413007.2818413414
BPS1-02177,95,13.0,5284429.355703303,3043605.022632404,48860.362265768315,119330.92648285095,4Naive,LN,8328034.378335707,0.6345350073782182,0.009246100000000002,0.3654649926217818,0.0392071,0.020195796643941208,5235568.993437534,2924274.096149553
BPS1-02174,95,13.0,319622.18603474693,167326.3666636704,53351.97453729203,30162.083528426563,4EM,LN,486948.55269841733,0.6563777307963354,0.16692200000000001,0.34362226920366457,0.180259,0.1715048902043693,266270.2114974549,137164.28313524384
BPS1-00648,57,13.0,216997.35599388866,10746.62511301914,0.0,0.0,4CM,LN,227743.9811069078,0.9528126931794766,0.0,0.047187306820523384,0.0,0.0,0.0,0.0
BPS1-00709,42,15.0,5168941.319431561,5449152.165040258,0.0,0.0,4Naive,LN,10618093.48447182,0.4868050302053525,0.0,0.5131949697946474,0.0,0.0,0.0,0.0
BPS1-02176,97,15.0,5679202.819164163,3219308.9757777485,53347.59168181857,171380.5571873236,4Naive,LN,8898511.794941911,0.6382193955614391,0.0093935,0.3617806044385609,0.0532352,0.02525457672561406,5625855.227482345,3047928.418590425
BPS1-02175,97,15.0,3881347.908464236,1440338.8919496366,45216.92686402665,64795.37346102474,4Naive,LN,5321686.800413873,0.7293454226134427,0.011649799999999998,0.2706545773865572,0.0449862,0.02067244925358922,3836130.9816002096,1375543.5184886118
BPS1-02175,97,15.0,104948.46746126661,31895.550867386017,30885.284489176152,11445.782219863206,4CM,LN,136844.01832865263,0.7669203867516972,0.29429,0.2330796132483028,0.35885199999999995,0.3093380859905369,74063.18297209046,20449.76864752281
BPS1-02176,97,15.0,119633.59838660747,47290.05601582629,35954.92092630779,15640.90228689845,4CM,LN,166923.65440243375,0.7166964970595756,0.30054200000000003,0.2833035029404245,0.330744,0.3090983323958067,83678.67746029969,31649.15372892784
BPS1-00709,42,15.0,135099.57886534822,69557.94775704056,0.0,0.0,4CM,LN,204657.52662238877,0.6601251422070534,0.0,0.33987485779294657,0.0,0.0,0.0,0.0
BPS1-02175,97,15.0,303528.5343796611,100641.30128058695,78435.1120975826,29796.366863636977,4EM,LN,404169.83566024806,0.7509925471895242,0.258411,0.24900745281047573,0.296065,0.26778712662812565,225093.42228207848,70844.93441694998
BPS1-00709,42,15.0,279046.6958554413,95634.90222997291,0.0,0.0,4EM,LN,374681.59808541427,0.7447568743203354,0.0,0.25524312567966445,0.0,0.0,0.0,0.0
BPS1-02176,97,15.0,300129.66958780726,134955.91798018295,59612.65536253905,31219.757374109657,4EM,LN,435085.5875679902,0.6898175397292525,0.19862300000000002,0.3101824602707475,0.23133299999999996,0.2087690682754562,240517.0142252682,103736.16060607329
BPS1-00752,125,17.0,194136.3803209876,95594.54766960841,48474.68934786868,26187.935144993888,4EM,LN,289730.92799059604,0.6700574966828836,0.24969400000000003,0.3299425033171163,0.273948,0.25769642547545335,145661.69097311894,69406.61252461452
BPS1-00754,125,17.0,92671.004378955,43613.565193876864,28744.970151277397,17972.45239935355,4CM,LN,136284.56957283185,0.6799816345270892,0.310183,0.32001836547291096,0.41208399999999995,0.34279319146005505,63926.0342276776,25641.112794523313
BPS1-00752,125,17.0,116033.32830406222,64199.55547248501,28451.024000171143,22608.964852078632,4CM,LN,180232.8837765472,0.6437966583718451,0.245197,0.35620334162815503,0.35216700000000006,0.2833000714539638,87582.30430389108,41590.59062040638
BPS1-00752,125,17.0,3003219.325011766,2688116.1176128825,15617.040811993684,86439.59950118337,4Naive,LN,5691335.442624649,0.5276827126581708,0.0052001,0.4723172873418291,0.0321562,0.017931932029315083,2987602.2841997724,2601676.5181116993
BPS1-00754,125,17.0,3342632.490493981,2960841.7185708256,21054.90779437254,130847.88590045678,4Naive,LN,6303474.209064807,0.5302841543615833,0.0062989000000000005,0.46971584563841673,0.0441928,0.024098265283037597,3321577.5826996085,2829993.8326703687
BPS1-00754,125,17.0,229581.30659445366,94954.92852468886,65780.32470936264,31375.76712255589,4EM,LN,324536.2351191425,0.7074134772968284,0.28652299999999997,0.2925865227031717,0.330428,0.2993690112792827,163800.98188509102,63579.16140213297
BPS1-00705,46,19.0,123113.13543462331,90764.09777904298,0.0,0.0,4CM,LN,213877.2332136663,0.575625248114331,0.0,0.42437475188566887,0.0,0.0,0.0,0.0
BPS1-00705,46,19.0,2830753.0588898906,5518058.088595783,0.0,0.0,4Naive,LN,8348811.147485673,0.3390606170008289,0.0,0.6609393829991712,0.0,0.0,0.0,0.0
BPS1-00705,46,19.0,215363.08139994624,85287.68589246836,0.0,0.0,4EM,LN,300650.7672924146,0.7163230725783677,0.0,0.2836769274216323,0.0,0.0,0.0,0.0
BPS1-00746,62,20.0,5176730.7236974025,1553572.9451932507,0.0,0.0,4Naive,LN,6730303.668890653,0.7691674816436145,0.0,0.23083251835638555,0.0,0.0,0.0,0.0
BPS1-00745,62,20.0,143239.10629939364,25066.84360239389,0.0,0.0,4EM,LN,168305.94990178754,0.8510638297872339,0.0,0.14893617021276595,0.0,0.0,0.0,0.0
BPS1-00746,62,20.0,366557.54392807797,54223.56143613296,0.0,0.0,4EM,LN,420781.1053642109,0.8711359404096835,0.0,0.12886405959031658,0.0,0.0,0.0,0.0
BPS1-00745,62,20.0,154118.02576517037,24568.226460212456,0.0,0.0,4CM,LN,178686.25222538284,0.8625063419583967,0.0,0.13749365804160327,0.0,0.0,0.0,0.0
BPS1-00746,62,20.0,147991.66623175787,22619.269847635424,0.0,0.0,4CM,LN,170610.9360793933,0.8674219228413963,0.0,0.13257807715860379,0.0,0.0,0.0,0.0
BPS1-00745,62,20.0,6312175.718199197,1918633.434283049,0.0,0.0,4Naive,LN,8230809.152482246,0.7668961339354554,0.0,0.23310386606454456,0.0,0.0,0.0,0.0
BPS1-02173,104,22.0,185775.891896488,148905.82475693387,36390.153256467864,38178.411126904546,4EM,LN,334681.71665342187,0.5550822846079381,0.195882,0.44491771539206193,0.256393,0.22280441587608904,149385.73864002014,110727.41363002933
BPS1-02172,104,22.0,3128786.774181671,5371217.889711207,25814.993916418134,142279.80204592706,4Naive,LN,8500004.663892878,0.36809235969862775,0.0082508,0.6319076403013721,0.0264893,0.019775847497636577,3102971.780265253,5228938.087665279
BPS1-02173,104,22.0,3649877.454779728,4416826.68968968,28626.718853328362,116725.68734177401,4Naive,LN,8066704.144469408,0.45246204514418825,0.0078432,0.5475379548558117,0.0264275,0.01801880961442686,3621250.7359263995,4300101.002347906
BPS1-02172,104,22.0,89792.21129889417,82852.33869681014,24526.383347447743,32448.12422254133,4CM,LN,172644.54999570432,0.5200987306064879,0.27314599999999994,0.47990126939351196,0.391638,0.330010461212976,65265.82795144642,50404.21447426881
BPS1-02173,104,22.0,94281.10314244508,63242.856815825704,28888.578532773452,23557.015521042835,4CM,LN,157523.95995827077,0.5985191279308927,0.306409,0.4014808720691074,0.37248499999999996,0.3329372501028383,65392.52460967163,39685.84129478287
BPS1-02172,104,22.0,195533.95436749022,191577.00946279318,43483.42737410557,51379.038167826504,4EM,LN,387110.9638302834,0.5051108664884416,0.22238299999999997,0.49488913351155844,0.26819,0.24505238653876396,152050.52699338464,140197.97129496667
BPS1-00704,63,36.0,1756930.7224154284,5888788.284460954,0.0,0.0,4Naive,LN,7645719.006876383,0.22979274033420344,0.0,0.7702072596657965,0.0,0.0,0.0,0.0
BPS1-00704,63,36.0,227821.0361998103,199300.76272526084,0.0,0.0,4EM,LN,427121.79892507114,0.5333865814696486,0.0,0.46661341853035143,0.0,0.0,0.0,0.0
BPS1-00704,63,36.0,66831.59777110338,90507.51857413848,0.0,0.0,4CM,LN,157339.11634524184,0.4247614917606245,0.0,0.5752385082393756,0.0,0.0,0.0,0.0
BPS1-00606,81,37.0,92570.73209830522,51988.06108389175,0.0,0.0,4CM,LN,144558.79318219697,0.6403673554581507,0.0,0.3596326445418493,0.0,0.0,0.0,0.0
