MouseID,Timepoint,Age_at_S1K,Qall,YFP+,YFP+.Ki67+,YFP-,YFP-.Ki67+,population,organ,YFP+frac,YFP+.Ki67+frac,YFP-frac,YFP-.Ki67+frac,Ki67+frac,YFP+.Ki67-,YFP-.Ki67-
BPS1-01714,0,56,590499.36,11674.08,2831.4,578825.28,84375.72,4EM,LN,0.019769843611685,0.242537313432836,0.980230156388315,0.145770620108368,0.147683682502213,8842.68,494449.56
BPS1-01714,0,56,11645112.6,29664.36,827.64,11615448.24,92739.24,4Naive,LN,0.002547365664803,0.027900146842878,0.997452634335198,0.007984129246139,0.008034862625545,28836.72,11522709
BPS1-01714,0,56,246506.04,4573.8,1611.72,241932.24,72396.72,4CM,LN,0.018554514931967,0.352380952380952,0.981445485068033,0.299243788260713,0.300229722565824,2962.08,169535.52
BPS1-01424,1,133,764430.116322702,13164.5178236398,1514.96435272045,751265.598499062,55008.8780487805,4EM,LN,0.017221349005672,0.115079365079365,0.982778650994328,0.073221611848967,0.073942458825941,11649.5534709193,696256.720450281
BPS1-01424,1,133,125062.919324578,1253.76360225141,208.960600375235,123809.155722326,17709.4108818011,4CM,LN,0.010025062656642,0.166666666666667,0.989974937343358,0.143037974683544,0.14327485380117,1044.80300187617,106099.744840525
BPS1-01424,1,133,6086813.32833021,9194.26641651032,313.440900562852,6077619.0619137,11962.9943714822,4Naive,LN,0.001510522160047,0.034090909090909,0.998489477839953,0.001968368574867,0.002016890384153,8880.82551594747,6065656.06754221
BPS1-01423,2,133,706516.085106383,107976.709219858,34497.6643026005,598539.375886525,8011.88652482269,4EM,LN,0.152829796088223,0.319491717721806,0.847170203911777,0.013385730074911,0.06016784574837,73479.0449172577,590527.489361702
BPS1-01423,2,133,65883.6784869976,15778.7612293144,6909.33333333333,50104.9172576832,3062.64775413712,4CM,LN,0.239494235775381,0.437888198757764,0.760505764224619,0.061124694376528,0.151357381926367,8869.42789598109,47042.2695035461
BPS1-01423,2,133,3672163.65957447,58459.8203309693,4385.71158392435,3613703.8392435,4802.231678487,4Naive,LN,0.015919720837754,0.075020955574183,0.984080279162246,0.001328894644419,0.00250205168238,54074.1087470449,3608901.60756501
BPS1-01422,3,133,561020.561538462,131229.115384615,34117.7307692308,429791.446153846,6658.01538461538,4EM,LN,0.233911418548995,0.259985984583041,0.766088581451005,0.015491270112975,0.0726813756024,97111.3846153846,423133.430769231
BPS1-01422,3,133,6563386.96153846,139542.438461538,7798.33846153846,6423844.52307692,9306.50769230769,4Naive,LN,0.02126073615334,0.055885066561223,0.97873926384666,0.001448744230791,0.002606100517017,131744.1,6414538.01538462
BPS1-01422,3,133,167038.938461538,53889.4615384615,18263.5615384615,113149.476923077,5775.18461538462,4CM,LN,0.322616163840564,0.338907849829351,0.677383836159436,0.051040312093628,0.143911032812156,35625.9,107374.292307692
BPS1-01421,4,133,203476.280777538,76041.1274298056,18037.8228941685,127435.153347732,10740.0777537797,4CM,LN,0.373710032143461,0.237211407876867,0.626289967856539,0.084278768233387,0.141431229910337,58003.3045356371,116695.075593953
BPS1-02241,4,74,2849397.05806452,121946.632258065,11318.4,2727450.42580645,11237.264516129,4Naive,LN,0.042797346165893,0.092814371257485,0.957202653834107,0.004120061875297,0.007915942936872,110628.232258065,2716213.16129032
BPS1-02242,4,74,83447.5780346821,24347.3526011561,7854.99421965318,59100.225433526,10311.6358381503,4CM,LN,0.29176823551472,0.322622107969152,0.70823176448528,0.174477098226105,0.217701106319145,16492.3583815029,48788.5895953757
BPS1-02237,4,74,52530.6504065041,20398.0162601626,7665.25203252033,32132.6341463415,4414.87804878049,4CM,LN,0.388306942752741,0.375784190715182,0.611693057247259,0.137395459976105,0.229963459196102,12732.7642276423,27717.756097561
BPS1-02241,4,74,78512.1032258065,32346.0129032258,12386.6838709677,46166.0903225807,2920.87741935484,4CM,LN,0.411987599035481,0.382943143812709,0.588012400964519,0.063268892794376,0.194970719944885,19959.3290322581,43245.2129032258
BPS1-02242,4,74,5532200.45086705,127870.543352601,3849.26011560694,5404329.90751445,18557.8150289017,4Naive,LN,0.02311386662292,0.030102790014684,0.97688613337708,0.003433879009329,0.004050300661285,124021.283236994,5385772.09248555
BPS1-01421,4,133,5558575.43412527,154457.464362851,7951.78833693305,5404117.96976242,12702.2073434125,4Naive,LN,0.027787239049524,0.051482059282371,0.972212760950476,0.002350468182687,0.003715699449457,146505.676025918,5391415.76241901
BPS1-01715,4,56,8007134.75877193,377487.5,21179.1666666667,7629647.25877193,24424.8903508772,4Naive,LN,0.047143892462464,0.056105610561056,0.952856107537536,0.003201313182965,0.00569542768936,356308.333333333,7605222.36842105
BPS1-02237,4,74,3229144.17886179,72608.7479674797,5784.13008130081,3156535.43089431,12617.593495935,4Naive,LN,0.022485446281025,0.079661614381389,0.977514553718975,0.003997291895552,0.005698637954197,66824.6178861789,3143917.83739837
BPS1-02242,4,74,402873.578034682,92616.9537572254,20936.2196531792,310256.624277457,23705.8092485549,4EM,LN,0.229890861071193,0.226051697921946,0.770109138928807,0.076407101069195,0.110809026294326,71680.7341040462,286550.815028902
BPS1-01715,4,56,124353.837719298,56619.8464912281,24883.8815789474,67733.9912280702,9769.95614035088,4CM,LN,0.455312417611389,0.439490445859873,0.544687582388611,0.144240077444337,0.278671236488268,31735.9649122807,57964.0350877193
BPS1-02241,4,74,332425.6,110317.212903226,29641.4967741935,222108.387096774,7302.1935483871,4EM,LN,0.331855347191148,0.268693307183133,0.668144652808852,0.032876712328767,0.111133710287597,80675.7161290323,214806.193548387
BPS1-02237,4,74,289999.902439024,83613.9512195122,22330.325203252,206385.951219512,8625.0081300813,4EM,LN,0.288324066719619,0.267064585246403,0.711675933280381,0.041790674603175,0.106742564645662,61283.6260162602,197760.943089431
BPS1-01421,4,133,761925.900647948,263820.371490281,50877.6760259179,498105.529157667,16557.6198704104,4EM,LN,0.346254630884612,0.192849686847599,0.653745369115388,0.033241188666206,0.088506370290052,212942.695464363,481547.909287257
BPS1-01715,4,56,429484.649122807,162187.828947368,55472.3684210526,267296.820175439,17867.8728070175,4EM,LN,0.37763358778626,0.342025469981807,0.62236641221374,0.066846559548632,0.170763358778626,106715.460526316,249428.947368421
