,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKihi,0,-68.82197172882012,8.213825219309385,0.0,0.4322517103581283,10.459595197075389,0.0,4EM,SK
4EMKilo,1,-69.19902126546413,7.449321387248894,0.37704953664400964,0.2977296317408298,10.361090954736794,0.4508840085575868,4EM,SK
4EMKimid,2,-69.31059617762952,7.679324853387783,0.48862444880939826,0.26332162004416315,10.556340849047102,0.357052817333885,4EM,SK
4CMKimid,3,-75.66505890833118,7.877161374703377,6.843087179511063,0.003107050795479063,9.817406896514479,2.4229054468411424,4EM,SK
4CMKihi,4,-75.675877350905,8.63455230983557,6.8539056220848815,0.0024376899678198766,9.731407220998705,2.2167737157465415,4EM,SK
4CMKilo,5,-76.69123060706305,8.401804407688317,7.869258878242929,0.001152296947480696,9.828594194904626,2.4944774743696465,4EM,SK
4NaiveKilo,6,-99.96044145289662,7.592247508156518,31.138469724076487,8.053932249194177e-11,10.184032742751102,5.6237518750382955,4EM,SK
4NaiveKimid,7,-100.10005246402193,7.276365395857852,31.27808073520181,6.427816833400868e-11,10.331224834087996,5.592454388908098,4EM,SK
4NaiveKihi,8,-104.48819269348795,7.433533162990543,35.66622096466783,1.2819218969370663e-12,10.18628756173374,5.503302593218814,4EM,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKilo,0,-84.29646767666236,5.666909132244797,0.0,0.5748983378054086,9.514832374115507,0.0,4EM,LP
4EMKimid,1,-84.79291413575673,6.1565164214045325,0.49644645909437823,0.35044915577117913,10.096956073364625,0.5657422721406392,4EM,LP
4EMKihi,2,-90.41764919978554,6.167264663973853,6.121181523123191,0.059587025183526356,9.537194544242706,3.9190076119824098,4EM,LP
4CMKilo,3,-90.62458639733997,5.82677190686006,6.328118720677604,0.008655412252827661,9.993133474354167,2.567787571017301,4EM,LP
4CMKimid,4,-91.23239092883955,6.098075180789635,6.935923252177203,0.005452319639346292,10.586692720474078,2.744516299650167,4EM,LP
4CMKihi,5,-96.57758989249692,6.5966329089889655,12.281122215834554,0.0009577493477039284,9.974891011412724,4.487132185638151,4EM,LP
4NaiveKimid,6,-142.13868727490302,6.3804662134588455,57.84221959824066,4.858113131682461e-15,10.432826857927259,9.488542833209298,4EM,LP
4NaiveKilo,7,-142.49649030119434,6.7815016300875754,58.200022624532,3.836848449207887e-15,10.350717684447686,9.542870318382576,4EM,LP
4NaiveKihi,8,-149.01188158461406,5.9082500967329565,64.7154139079517,6.672720212670739e-22,10.319633172558556,8.505046013364817,4EM,LP
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
69Kihi,0,-81.10391993749613,8.704658328460226,0.0,0.6632737439441361,9.530443039352154,0.0,4EM.CD69+,SK
69Kimid,1,-83.80541750791956,7.787084490190281,2.70149757042343,0.06595193783939982,9.664866561587344,1.5286285531349086,4EM.CD69+,SK
4EMKihi,2,-84.56411557346554,8.035092500360875,3.4601956359694155,0.09222198128539942,9.66466209269126,3.6984567688942454,4EM.CD69+,SK
4EMKimid,3,-84.9970657560462,7.0678866589158815,3.8931458185500594,0.0739709789411366,9.663608525299834,3.8741145130668944,4EM.CD69+,SK
69Kilo,4,-85.0027146776351,7.774109542049089,3.898794740138971,0.02672786669644368,9.493137251964502,1.7952236192131403,4EM.CD69+,SK
4EMKilo,5,-85.531791669727,7.479421562951302,4.427871732230873,0.04590281309242621,10.590822099059586,3.924279168456332,4EM.CD69+,SK
4CMKihi,6,-88.86135285985253,7.564004452177343,7.757432922356404,0.019036010671452823,10.505517104237835,4.816392153851324,4EM.CD69+,SK
4CMKilo,7,-89.8156375883243,7.2515373285152265,8.711717650828163,0.008846746037157897,10.4361496219911,4.998613338725463,4EM.CD69+,SK
4CMKimid,8,-90.14448233973562,7.941507019538946,9.040562402239477,0.0040679201098908,9.634340087899183,4.843567728137205,4EM.CD69+,SK
4NaiveKilo,9,-115.1051914831296,6.8887585047040005,34.001271545633465,5.935312033070946e-10,9.792805744217352,7.77614203490556,4EM.CD69+,SK
4NaiveKimid,10,-115.1790594070271,6.921437185649069,34.07513946953097,7.45108619888067e-10,9.975875299229822,7.8118371765261045,4EM.CD69+,SK
4NaiveKihi,11,-118.9217865187752,6.283382678606998,37.81786658127907,4.3915953862673574e-11,9.749710337672882,7.944983006166755,4EM.CD69+,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKimid,0,-94.5958586409855,6.927099238125635,0.0,0.45351504345612115,11.406285425804658,0.0,4EM.CD69+,LP
4EMKilo,1,-95.11813015986678,7.230335835085214,0.5222715188812845,0.3243689530708398,12.440413524076908,0.7805819664479073,4EM.CD69+,LP
69Kimid,2,-97.1103276653394,6.95852313238224,2.5144690243538967,0.08384460591576708,11.539311450008444,1.8118008966861285,4EM.CD69+,LP
69Kilo,3,-97.26933802977959,7.395232149843366,2.6734793887940995,0.07049967938840603,10.660628900455437,1.7359178394178558,4EM.CD69+,LP
4EMKihi,4,-100.21581869597878,6.652184342364208,5.619960054993282,0.05711456521819165,12.007012069702535,3.668579151520502,4EM.CD69+,LP
4CMKimid,5,-102.24989455632624,7.725302625348803,7.6540359153407485,0.0016160586070816283,11.920801240145437,2.689251824216798,4EM.CD69+,LP
69Kihi,6,-102.60195501422697,6.926678259721513,8.006096373241487,0.007165951034938911,11.67187333856913,4.0279644158588335,4EM.CD69+,LP
4CMKilo,7,-102.80645040472676,7.744154235025832,8.210591763741265,0.0012447908024209124,11.892100998603842,2.7138801361854865,4EM.CD69+,LP
4CMKihi,8,-106.84878350029393,6.484320445594975,12.25292485930845,0.0006303525062334518,11.766017193065897,4.265190763261825,4EM.CD69+,LP
4NaiveKimid,9,-159.24937365425322,7.623764657562106,64.65351501326774,6.424900117019629e-19,11.82613976624841,9.105692416076685,4EM.CD69+,LP
4NaiveKihi,10,-159.57970722659218,6.341290680990795,64.9838485856067,1.8705316414126924e-20,12.595737071673412,8.414820034366532,4EM.CD69+,LP
4NaiveKilo,11,-159.95406496342332,7.73896248889676,65.35820632243781,2.203984992231111e-19,11.629997363591464,9.078299659658116,4EM.CD69+,LP
